dataset,method,epsilon,rep,nmi,evc_overlap,evc_mae,deg_kl,diam_rel,cc_rel,mod_rel,edges,time_sec,timestamp
Chamelon,ours,2.0,4,0.33558950169752094,0.8636363636363636,0.0027314156510186193,1.2351389393720584,0.4545454545454545,0.1291339293006256,0.1299967316393081,28104,4.29,2026-05-11 00:40:26
Chamelon,ours,2.0,5,0.33110426432289136,0.9090909090909091,0.002747731591288913,1.0835105559389129,0.4545454545454545,0.1769828512283183,0.11628652902282546,28070,4.35,2026-05-11 00:40:30
Chamelon,ours,2.0,6,0.30357698619651075,0.9545454545454546,0.006937703473867845,1.232339740556738,0.3636363636363636,0.0777611014118585,0.18203857233579562,29321,4.55,2026-05-11 00:40:35
Chamelon,ours,2.0,7,0.3394020916755186,0.8636363636363636,0.002478923429283185,1.2668251383665348,0.4545454545454545,0.23910274867041775,0.07641913101095783,28384,4.27,2026-05-11 00:40:39
Chamelon,ours,2.0,8,0.312447538344747,0.8181818181818182,0.004976803562045034,1.2526976688021736,0.3636363636363636,0.527213227099656,0.03725542256833745,25753,4.01,2026-05-11 00:40:43
Chamelon,ours,2.0,9,0.3318121514060108,0.8181818181818182,0.0030066907848666754,1.4046064642317868,0.4545454545454545,0.3295518730353882,0.04258606072860748,27580,4.2,2026-05-11 00:40:47
Chamelon,ours,2.5,0,0.31739566806443165,0.9545454545454546,0.001852168890034172,1.405886131863665,0.3636363636363636,0.021384821986834106,0.254808775057471,28883,4.63,2026-05-11 00:40:52
Chamelon,ours,2.5,1,0.3561668904056774,0.9090909090909091,0.0015202041197999614,1.137726238548298,0.4545454545454545,0.14134482254664513,0.10644659233515115,28652,4.48,2026-05-11 00:40:56
Chamelon,ours,2.5,2,0.32833509378677433,0.8636363636363636,0.002191136587896553,1.255688195872574,0.4545454545454545,0.17074559358763916,0.12247719812040728,28217,4.55,2026-05-11 00:41:01
Chamelon,ours,2.5,3,0.3092936355219292,0.9545454545454546,0.0036329155072653174,1.431117340319197,0.3636363636363636,0.06598659848197272,0.26265136019823443,28923,4.56,2026-05-11 00:41:05
Chamelon,ours,2.5,4,0.2794965797664256,0.8636363636363636,0.00273464821754235,1.1367429054182598,0.4545454545454545,0.03995000849048156,0.20607029104974983,29368,4.73,2026-05-11 00:41:10
Chamelon,ours,2.5,5,0.3011316402113305,0.9090909090909091,0.0032022960507045897,1.2785390877117575,0.4545454545454545,0.1265116533368626,0.13061741596276133,29131,4.85,2026-05-11 00:41:15
Chamelon,ours,2.5,6,0.2835923315021478,0.9090909090909091,0.00319552319782519,1.2937874718011932,0.3636363636363636,0.0635983648229603,0.21229491232363104,28539,4.59,2026-05-11 00:41:19
Chamelon,ours,2.5,7,0.31097275542381014,0.9090909090909091,0.0016115724009687436,1.5103765864288146,0.3636363636363636,0.17233575119311506,0.13482650838117208,28018,4.37,2026-05-11 00:41:24
Chamelon,ours,2.5,8,0.3460626207956526,0.9545454545454546,0.0020264495327839125,1.2115188440180322,0.3636363636363636,0.2888659318916002,0.049272498522019814,28156,4.35,2026-05-11 00:41:28
Chamelon,ours,2.5,9,0.3420015719005781,0.8636363636363636,0.0018523552753021782,1.1364293101830214,0.4545454545454545,0.12266980236816233,0.11636957279144705,28316,4.52,2026-05-11 00:41:33
Chamelon,ours,3.0,0,0.36088068980164534,1.0,0.0006944699894960003,1.2199720049772784,0.4545454545454545,0.08071659651132326,0.10491756607083763,28635,4.73,2026-05-11 00:41:37
Chamelon,ours,3.0,1,0.36786278465929817,0.8181818181818182,0.001874721422564254,1.109317159038007,0.4545454545454545,0.07779513885572374,0.10644191174913022,28760,4.75,2026-05-11 00:41:42
Chamelon,ours,3.0,2,0.35105681153295465,0.9090909090909091,0.003163004374841492,1.2733109398879383,0.4545454545454545,0.1181799967362018,0.10687760862826402,29333,4.81,2026-05-11 00:41:47
Chamelon,ours,3.0,3,0.3127355543733276,0.8181818181818182,0.0024376883379400335,1.0926652383797357,0.4545454545454545,0.20014615655256224,0.08283182069271912,28056,4.35,2026-05-11 00:41:51
Chamelon,ours,3.0,4,0.294758346824254,0.8636363636363636,0.002021951992947339,1.3170094235352818,0.4545454545454545,0.0843816416744483,0.22937108545279847,29776,4.91,2026-05-11 00:41:56
Chamelon,ours,3.0,5,0.34367676422664417,0.9545454545454546,0.0017956948590476265,1.327909162800599,0.4545454545454545,0.022507611508770287,0.19358993341394032,29115,4.87,2026-05-11 00:42:01
Chamelon,ours,3.0,6,0.3090185781510183,0.9545454545454546,0.002405182674595169,1.4149865526471261,0.4545454545454545,0.16966436747187477,0.07979680624271626,28704,4.57,2026-05-11 00:42:06
Chamelon,ours,3.0,7,0.27613209514789844,0.7727272727272727,0.006714920530040547,1.36570533291457,0.4545454545454545,0.07664496111236649,0.3273257563129378,29576,4.95,2026-05-11 00:42:11
Chamelon,ours,3.0,8,0.308686960176457,0.8636363636363636,0.0014836505477047646,1.1490662018295994,0.4545454545454545,0.09467168877727057,0.23776343610457118,29396,4.96,2026-05-11 00:42:16
Chamelon,ours,3.0,9,0.3703771649299393,0.9090909090909091,0.0024946387568505774,1.1598930175143767,0.4545454545454545,0.12255037927051182,0.09899983548820712,28729,4.65,2026-05-11 00:42:20
Chamelon,ours,3.5,0,0.27593198527411733,0.7272727272727273,0.004827094462588368,1.4220274218205133,0.3636363636363636,0.12783123663405968,0.32477460869728864,30025,5.05,2026-05-11 00:42:25
Chamelon,ours,3.5,1,0.32760334905367045,0.8636363636363636,0.0018543390243967008,1.343918564461112,0.4545454545454545,0.06676263194998759,0.24162850695075386,29327,4.78,2026-05-11 00:42:30
Chamelon,ours,3.5,2,0.30305612248303665,0.9090909090909091,0.001822053305349885,1.212896251630653,0.4545454545454545,0.04897868280239838,0.24334173154519592,29527,5.01,2026-05-11 00:42:35
Chamelon,ours,3.5,3,0.3021430674122879,0.8181818181818182,0.003337342448853257,1.368600085844293,0.4545454545454545,0.03455778035516477,0.26694653392807605,29187,4.75,2026-05-11 00:42:40
Chamelon,ours,3.5,4,0.34748990953787173,0.9090909090909091,0.0011245531394063505,1.1931902450062828,0.4545454545454545,0.09024959077357166,0.12287401466601075,28755,4.71,2026-05-11 00:42:45
Chamelon,ours,3.5,5,0.38010091743476865,0.8181818181818182,0.0020596295739856,1.4295250826822725,0.4545454545454545,0.07265557341535593,0.11102602593738009,28522,4.75,2026-05-11 00:42:49
Chamelon,ours,3.5,6,0.30735555298211853,0.9090909090909091,0.0020076347812623976,1.2626097750250507,0.4545454545454545,0.006041844882525748,0.16607655857181342,29449,4.81,2026-05-11 00:42:54
Chamelon,ours,3.5,7,0.30853205021667507,0.7272727272727273,0.005678532489617797,1.1766753935385965,0.4545454545454545,0.03617711733835493,0.27862513219583973,29413,4.76,2026-05-11 00:42:59
