dataset,eps,intra_ratio,inter_ratio,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel,syn_edges
Chamelon,0.5,0.3,0.4,4,0.11166763563160331,0.36363636363636365,0.051460541492849995,4.74641776090494,0.0909090909090909,0.44691542036869825,0.20858194071982936,5779
Chamelon,0.5,0.3,0.5,0,0.13475894300061134,0.5,0.04087291266130259,3.5588643512984626,0.1818181818181818,0.23831650949745717,0.1499352519503976,7237
Chamelon,0.5,0.3,0.5,1,0.1049966176939907,0.3181818181818182,0.057465113352319144,4.611185008406785,0.3636363636363636,0.35532099849982157,0.23188223781656184,5424
Chamelon,0.5,0.3,0.5,2,0.11761413987720516,0.18181818181818182,0.030223361287132555,4.01950332654176,0.3636363636363636,0.28805893736096994,0.18128834286785903,6184
Chamelon,0.5,0.3,0.5,3,0.12148231905823147,0.22727272727272727,0.046829587401861265,4.419328740067666,0.7272727272727272,0.2192820190285626,0.19161343614304124,6109
Chamelon,0.5,0.3,0.5,4,0.12091178609374287,0.13636363636363635,0.054587619062279165,4.213178280516653,0.0909090909090909,0.305620546440562,0.2124587666773847,6265
Chamelon,0.5,0.3,0.6,0,0.14197619282227755,0.0,0.03779335697839926,4.017747040011338,0.0909090909090909,0.3789459329001046,0.10532238975863169,7459
Chamelon,0.5,0.3,0.6,1,0.12059747559741954,0.36363636363636365,0.0464974771793343,4.1231034772277715,0.1818181818181818,0.23399659623071248,0.19020994626223617,6637
Chamelon,0.5,0.3,0.6,2,0.12413804816287198,0.2727272727272727,0.053141077615408865,3.7456985415715485,0.4545454545454545,0.2818417813214855,0.19084472405961272,6401
Chamelon,0.5,0.3,0.6,3,0.10671128017728347,0.13636363636363635,0.06128333326907469,4.955002138557972,0.1818181818181818,0.37634649290221445,0.23205647258974885,5288
Chamelon,0.5,0.3,0.6,4,0.09998061842434108,0.13636363636363635,0.07205461842804405,4.8580586196455915,0.5454545454545454,0.4669297694593768,0.2732844529344723,4962
Chamelon,0.5,0.3,0.7,0,0.13047884193914028,0.045454545454545456,0.050802439897109024,4.367339634378935,0.3636363636363636,0.43105271709302584,0.20680394355493675,5672
Chamelon,0.5,0.3,0.7,1,0.10994988283016874,0.22727272727272727,0.05832328335477896,4.026473704487365,0.1818181818181818,0.31273551417751616,0.2076533241215464,6158
Chamelon,0.5,0.3,0.7,2,0.12642107437719785,0.22727272727272727,0.04145412208512219,4.0982339910976195,0.3636363636363636,0.31094297142836314,0.1796779236012517,6489
Chamelon,0.5,0.3,0.7,3,0.1460623727836891,0.5454545454545454,0.03646601231137798,3.6331533449693887,0.6363636363636362,0.1866461867674541,0.11350121112971334,7549
Chamelon,0.5,0.3,0.7,4,0.10727845862263385,0.045454545454545456,0.0626607441202523,4.54849302455373,0.2727272727272727,0.40795986864449596,0.22945825243293985,4981
Chamelon,0.5,0.3,0.8,0,0.15057388418660886,0.5,0.03449465979841589,3.1680122139343534,0.0909090909090909,0.26330986814180396,0.0913317966468707,8906
Chamelon,0.5,0.3,0.8,1,0.12275470237824292,0.3181818181818182,0.036031688889166635,3.637844158960778,0.3636363636363636,0.23663246315720277,0.09113355763902264,6466
Chamelon,0.5,0.3,0.8,2,0.09653292686561675,0.045454545454545456,0.06924642591977045,4.855509239114566,0.1818181818181818,0.3912906666056655,0.28105833423136056,4990
Chamelon,0.5,0.3,0.8,3,0.11308603666856792,0.09090909090909091,0.05512428283464967,4.127227067593309,0.0909090909090909,0.31469228902687657,0.2249119252666066,6360
Chamelon,0.5,0.3,0.8,4,0.12943022977882565,0.45454545454545453,0.03882942309189499,3.810231934291069,0.7272727272727272,0.04480392486166927,0.11627631281163277,6144
Chamelon,0.5,0.3,0.9,0,0.12363433962454488,0.2727272727272727,0.05260506077601617,4.330040541849559,0.7272727272727272,0.2998333052397348,0.18864117505154235,6401
Chamelon,0.5,0.3,0.9,1,0.11282494682941724,0.13636363636363635,0.051633611954767566,5.092089938127393,0.4545454545454545,0.39161963107729847,0.22386611568833256,5512
Chamelon,0.5,0.3,0.9,2,0.13186540715632047,0.22727272727272727,0.058905016968116515,5.008382569376872,0.909090909090909,0.36756828253909707,0.26744330703972397,4589
Chamelon,0.5,0.3,0.9,3,0.1085469457993655,0.2727272727272727,0.049477074847227194,4.100359961113388,0.1818181818181818,0.2844806738373279,0.19821090041907322,6011
Chamelon,0.5,0.3,0.9,4,0.12103710088210022,0.22727272727272727,0.05238642994001728,3.6588877350344613,0.1818181818181818,0.20487507257727386,0.20537130939734746,7192
Chamelon,0.5,0.3,1.0,0,0.12373605006381562,0.13636363636363635,0.05761157039147901,3.933128520192575,0.1818181818181818,0.2757287690802287,0.22018108291346355,6964
Chamelon,0.5,0.3,1.0,1,0.12031254570376035,0.0,0.06390544957202395,4.3579345323914405,0.1818181818181818,0.35893195859131355,0.2262270483823204,6117
Chamelon,0.5,0.3,1.0,2,0.10518355592291316,0.0,0.062444907798305894,5.025677209673512,0.1818181818181818,0.342147986197334,0.23812638769392178,5495
Chamelon,0.5,0.3,1.0,3,0.114493143368626,0.22727272727272727,0.05037967768718661,4.036668043149577,0.2727272727272727,0.29370558966224536,0.20226456814844598,6071
Chamelon,0.5,0.3,1.0,4,0.11201964605772763,0.18181818181818182,0.043536924178394325,3.7163217030770634,0.0909090909090909,0.1929163643990315,0.15270060782745976,6140
Chamelon,0.5,0.4,0.1,0,0.11514237519092908,0.13636363636363635,0.0361945104944486,4.178161189325433,0.0909090909090909,0.3850085042836596,0.19695715726965413,6545
Chamelon,0.5,0.4,0.1,1,0.10942411152440383,0.045454545454545456,0.05859085861479917,4.712297355000995,0.9999999999999999,0.3619066975326805,0.22781744508005267,5195
Chamelon,0.5,0.4,0.1,2,0.11754916327470437,0.18181818181818182,0.06284285673442108,4.102580012626767,0.7272727272727272,0.3603679914504374,0.25424395409933775,5737
Chamelon,0.5,0.4,0.1,3,0.08774403611866922,0.22727272727272727,0.03355449468622734,4.471230241806726,0.4545454545454545,0.37250766302565524,0.24820776233757544,6037
Chamelon,0.5,0.4,0.1,4,0.13132236459215782,0.3181818181818182,0.05065344067810439,4.212404335102154,0.0909090909090909,0.37194876825699685,0.19661694839699953,6878
Chamelon,0.5,0.4,0.2,0,0.09544946313566344,0.4090909090909091,0.04691064984015641,4.307011341706705,0.3636363636363636,0.2190165254167283,0.19551000679735908,6009
Chamelon,0.5,0.4,0.2,1,0.11651902658966662,0.18181818181818182,0.04289202584412349,3.7711465346538886,0.0909090909090909,0.40278252026390376,0.17930126413594544,7377
Chamelon,0.5,0.4,0.2,2,0.08317047663637271,0.0,0.0703229899026586,5.132504892786752,0.1818181818181818,0.486804510894414,0.26838860481206744,4758
Chamelon,0.5,0.4,0.2,3,0.12033693548692649,0.2727272727272727,0.05071507927997263,4.359922603288819,0.1818181818181818,0.22954115087041854,0.16523652547283643,5623
Chamelon,0.5,0.4,0.2,4,0.09133929531469728,0.22727272727272727,0.051060864563120666,4.835821006227338,0.1818181818181818,0.566596661024606,0.2184550478218907,5238
Chamelon,0.5,0.4,0.3,0,0.0978984098764321,0.09090909090909091,0.04357764962442508,4.2748084018402945,0.0,0.4025528116206684,0.22676804632521494,6483
Chamelon,0.5,0.4,0.3,1,0.1071018768124548,0.22727272727272727,0.04451466189840115,3.8733358655486407,0.0909090909090909,0.4408187590576158,0.1883822695743971,6139
