epsilon,e1_r,e2_r,e3_r,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
2.0,0.2,0.2,0.6,6.0,0.20471691109228146,0.6818181818181818,0.007310616144884946,2.134489816687193,0.0909090909090909,0.030651951947536286,0.5171730331590656
2.0,0.2,0.2,0.6,7.0,0.24134209599076625,0.7727272727272727,0.002142398553648783,2.722338162132309,0.1818181818181818,0.32737196897897125,0.3639512417797928
2.0,0.2,0.2,0.6,8.0,0.28550557058515014,0.8636363636363636,0.0013319239140545636,1.6244672264877869,0.2727272727272727,0.27210156593367135,0.18041667341852685
2.0,0.2,0.2,0.6,9.0,0.2917006989277315,0.8181818181818182,0.001277859267439231,1.6128215457101498,0.1818181818181818,0.25028244672144473,0.13555117453539597
2.0,0.2,0.3,0.5,0.0,0.2662475046637421,0.8181818181818182,0.0013071799481382351,1.6675660539208899,0.0,0.37707970349084685,0.22497685540263077
2.0,0.2,0.3,0.5,1.0,0.2521377617973703,0.7272727272727273,0.010076954509360274,2.2349331116029214,0.1818181818181818,0.10965816278452978,0.29258136993250533
2.0,0.2,0.3,0.5,2.0,0.26711278047602016,0.9090909090909091,0.0012896042511146093,2.2463786044855905,0.0909090909090909,0.14393648433218578,0.35350901330213946
2.0,0.2,0.3,0.5,3.0,0.29728848712139466,0.7727272727272727,0.0013824661797390023,1.630007588740713,0.0909090909090909,0.40908085569858926,0.11434270347310899
2.0,0.2,0.3,0.5,4.0,0.2772062334974269,0.8636363636363636,0.004289627628378769,1.400986617728241,0.0909090909090909,0.08894648709425693,0.449055206752741
2.0,0.2,0.3,0.5,5.0,0.2926306765434075,0.6818181818181818,0.0021297333217367305,2.0280942742461776,0.0,0.4584948282773349,0.1384015949375232
2.0,0.2,0.3,0.5,6.0,0.2712573531157096,0.8181818181818182,0.002949160673127468,2.112101619473886,0.0,0.4901394606964041,0.15457966551760488
2.0,0.2,0.3,0.5,7.0,0.2678033455225399,0.9090909090909091,0.0011343454506722672,2.0576443179243236,0.0,0.3021088548465023,0.29206415042660805
2.0,0.2,0.3,0.5,8.0,0.249711713206795,0.6818181818181818,0.016996717124875965,2.818122850487501,0.0909090909090909,0.15359348029329448,0.04340723919143329
2.0,0.2,0.3,0.5,9.0,0.3093587614100777,0.8181818181818182,0.0015881770032888023,1.7029337042777923,0.1818181818181818,0.2632182839655951,0.12873004312000202
2.0,0.2,0.4,0.4,0.0,0.3409335056642382,0.9545454545454546,0.0011819966359872195,1.412446733156792,0.0,0.2851852625656603,0.08823786793178907
2.0,0.2,0.4,0.4,1.0,0.3070436779240974,0.8636363636363636,0.005980174949079229,1.2743438499596558,0.2727272727272727,0.10595214196781869,0.38435572531801926
2.0,0.2,0.4,0.4,2.0,0.2801729039707955,0.9545454545454546,0.001771366808988952,1.63352886547252,0.0,0.13906471731972694,0.22213027155883952
2.0,0.2,0.4,0.4,3.0,0.32763173460541845,0.7727272727272727,0.0011580709500877229,1.4069674566753736,0.0,0.21906242644233243,0.1092868857798794
2.0,0.2,0.4,0.4,4.0,0.29903462668574043,0.7727272727272727,0.004107584106978697,1.2401547374246067,0.0,0.024142047559098507,0.37805493526451917
2.0,0.2,0.4,0.4,5.0,0.3376313846231831,0.8181818181818182,0.0014602616401904133,1.3626110845813315,0.0,0.26232631212943425,0.10149891291492089
2.0,0.2,0.4,0.4,6.0,0.27100366211825105,0.8636363636363636,0.003700102996477181,1.3120414721250724,0.0909090909090909,0.07291257590006091,0.34071841113867374
2.0,0.2,0.4,0.4,7.0,0.29433926232721636,0.7727272727272727,0.004120806298213055,1.783110188977555,0.0,0.119742066583533,0.4492591594762649
2.0,0.2,0.4,0.4,8.0,0.2911453023098145,0.7272727272727273,0.003558609819098309,1.7251701833303748,0.0,0.05974909871277583,0.3912769266894211
2.0,0.2,0.4,0.4,9.0,0.32254420140448464,0.7727272727272727,0.0011160924351776304,1.8698651161082216,0.0909090909090909,0.2261066320663281,0.12451664519308842
2.0,0.2,0.5,0.3,0.0,0.3509369370652842,0.8181818181818182,0.0012608055181393728,1.2328284465909822,0.1818181818181818,0.12330038228125506,0.09669858856073615
2.0,0.2,0.5,0.3,1.0,0.3336708003818108,0.7727272727272727,0.001682736609926677,1.3990972159070751,0.1818181818181818,0.19368378703697603,0.12283461345095406
2.0,0.2,0.5,0.3,2.0,0.322749338628093,0.8636363636363636,0.00467390090365822,1.350087256950943,0.1818181818181818,0.052508529029977366,0.34615475959623254
2.0,0.2,0.5,0.3,3.0,0.30801358465802453,0.8181818181818182,0.000977397506002016,1.5585509570018867,0.2727272727272727,0.18097004774133965,0.21596168905680854
2.0,0.2,0.5,0.3,4.0,0.3019787065973873,0.8181818181818182,0.0029700606681425557,1.2968342683563747,0.0,0.11776845576162566,0.2909889488243852
2.0,0.2,0.5,0.3,5.0,0.361266744087578,0.6818181818181818,0.0012294732120833192,1.5233770081974742,0.0909090909090909,0.12857798328867848,0.1134410927450873
2.0,0.2,0.5,0.3,6.0,0.3616106746160819,0.8636363636363636,0.0020360434397523187,1.4744773018401447,0.3636363636363636,0.1958813732064174,0.06486727075460981
2.0,0.2,0.5,0.3,7.0,0.3588265969368698,0.8181818181818182,0.0014876376557642795,1.2416839295840068,0.2727272727272727,0.1431129087701394,0.1057535546061534
2.0,0.2,0.5,0.3,8.0,0.34626822679613745,0.8181818181818182,0.0022156185020848333,1.292085761138524,0.2727272727272727,0.09371833687529266,0.11209457465822555
2.0,0.2,0.5,0.3,9.0,0.27720556936415885,0.8636363636363636,0.009637491162522722,1.3803510407778066,0.0909090909090909,0.18639576145301,0.5299200052789956
2.0,0.2,0.6,0.2,0.0,0.3314425952486091,0.8181818181818182,0.0040429580540905004,1.3492369186588018,0.1818181818181818,0.011450337185874947,0.22873788346801152
2.0,0.2,0.6,0.2,1.0,0.38264403606059977,0.8636363636363636,0.00207726366376676,1.3404636186635508,0.1818181818181818,0.08424407514522111,0.08374569715322208
