intra_ratio,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel,mat2_edges
0.05,13,0.339889403034101,0.8636363636363636,0.0015835794843090036,1.3876283683570447,0.3636363636363636,0.13161989545909114,0.06375732053832679,22190
0.1,13,0.30864343484626194,0.8636363636363636,0.0010570028093865068,1.2714825809412438,0.0909090909090909,0.18690466639794737,0.11292671827961735,20611
0.15,13,0.2886978537903388,0.8636363636363636,0.0012199381787506255,1.3941501561513656,0.3636363636363636,0.09466193256506376,0.18376931011387082,21242
0.0,14,0.33102329775257083,0.8636363636363636,0.0018194606556550309,1.6114582236021957,0.1818181818181818,0.07997714597431713,0.17994247442786665,20194
0.05,14,0.3519049828734485,0.8636363636363636,0.0013073905020598202,1.5522432164557887,0.0909090909090909,0.22274063928132032,0.061966616960675076,21151
0.1,14,0.29106609262772465,0.8181818181818182,0.0017891076883617635,2.159414084529747,0.0,0.1483871054807677,0.2094080590064592,19254
0.15,14,0.3522152488861449,0.9090909090909091,0.0009112719518021915,1.6690505539202207,0.3636363636363636,0.15149931179774637,0.08695803585189202,22587
0.0,15,0.36392126688618676,0.9545454545454546,0.002442595716379395,1.3312647183211086,0.1818181818181818,0.1640967879386854,0.07810380453309024,21553
0.05,15,0.32477063085751723,0.9090909090909091,0.003398937314385127,1.6122087048401537,0.0,0.1320944300874055,0.09359091111073453,21368
0.1,15,0.3415504497867643,0.9090909090909091,0.0017047237367277502,1.2860328725307648,0.2727272727272727,0.09751276039470971,0.06893090742010584,22346
0.15,15,0.33289904502438417,0.8636363636363636,0.001863364307799223,1.2374636857914174,0.3636363636363636,0.28862837397004604,0.029431165613593907,20677
0.0,16,0.363345645106825,0.9090909090909091,0.003117779219359469,1.3599690926967538,0.2727272727272727,0.2032983817302999,0.05000818085754914,21436
0.05,16,0.3500163931409361,0.8181818181818182,0.0011701515298162988,1.2780416516637882,0.0909090909090909,0.24327110703311075,0.03962508887270169,21019
0.1,16,0.3451942397430624,0.8636363636363636,0.0015266817709852082,1.4015182957683727,0.0,0.2279372073609137,0.052180195748337176,22089
0.15,16,0.3182966983723692,0.8636363636363636,0.00269182048972898,1.1697199193747552,0.3636363636363636,0.0702183235619813,0.09549486785576776,22577
0.0,17,0.35289515489534007,0.8181818181818182,0.00286132566268853,1.5250915747728169,0.3636363636363636,0.05155491689653317,0.06795912639543239,23049
0.05,17,0.34745194009340086,0.8181818181818182,0.0018501452449297886,1.4543681506520119,0.1818181818181818,0.18673193965735713,0.06150995631016906,21204
0.1,17,0.3238850395588793,0.8636363636363636,0.0025913747849300446,1.453759429346606,0.2727272727272727,0.3375025889131752,0.00799284838456515,19171
0.15,17,0.3133698638485929,0.9090909090909091,0.0014918846877767416,1.5049038718948953,0.3636363636363636,0.140751722858369,0.06957253053561156,22382
