swap_ratio,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel,mat2_edges
0.0,23,0.340140885377766,0.9545454545454546,0.0017711154272679955,1.2217997204635567,0.2727272727272727,0.12338495978493018,0.06344012155852416,22346
0.1,23,0.3520702339073104,0.9090909090909091,0.0014833133324662672,1.7153151426756967,0.0909090909090909,0.30170578432468387,0.05989453997404254,20051
0.3,23,0.3119203804161788,0.9090909090909091,0.002404982990591481,1.0817430224846156,0.2727272727272727,0.0904670921954827,0.0927231197121943,21073
0.5,23,0.32588095745515194,0.6818181818181818,0.0017835403921884984,1.34039246329912,0.3636363636363636,0.14262591028186225,0.06092254769584236,20830
0.7,23,0.3483735479997266,0.9090909090909091,0.0018885885600941179,1.344995857117933,0.3636363636363636,0.09460109625640051,0.059474171422341404,22883
0.0,24,0.32918220822808864,0.8636363636363636,0.001743046295761843,1.3719602528113928,0.0909090909090909,0.20219161580632378,0.0626863671568111,21357
0.1,24,0.31881181634185346,0.9090909090909091,0.004164133308618724,1.6519206779507116,0.0909090909090909,0.0921875335899831,0.30722126587254306,22747
0.3,24,0.3054426574834966,0.8636363636363636,0.0017209832187501605,1.524099233743632,0.0909090909090909,0.16533106426338623,0.13804927917042445,20036
0.5,24,0.34824162311429735,0.9090909090909091,0.0018607855284987528,1.1628615507455897,0.3636363636363636,0.12148644635459889,0.05824628830324664,22378
0.7,24,0.3642216582225748,0.8181818181818182,0.001989096202128217,1.4308913236884886,0.1818181818181818,0.18968422295333404,0.06721748006231829,21321
0.0,25,0.33768442160146894,0.8636363636363636,0.0017153423271536903,1.336466312105752,0.3636363636363636,0.14966039414709065,0.058934526810408144,22673
0.1,25,0.32373265744964824,0.9090909090909091,0.0027428695340768468,1.3982848231275502,0.1818181818181818,0.19017194849797106,0.10065552424765847,19884
0.3,25,0.35460285164234107,0.8636363636363636,0.0022240076895173664,1.2586855495856837,0.3636363636363636,0.10312256040410105,0.06311760154017117,22415
0.5,25,0.3074873509934082,0.8636363636363636,0.0012928672610131573,1.3824671356542837,0.0,0.18514225527289727,0.2283559653884003,19083
0.7,25,0.34993832917427176,0.8181818181818182,0.001965198193484545,1.5312776575551028,0.3636363636363636,0.12906900961142004,0.06928180844237274,22980
0.0,26,0.32461181034505354,0.8181818181818182,0.0011265065466874698,1.35529203888023,0.3636363636363636,0.15209268255866712,0.05196390226474037,21640
0.1,26,0.28571198624009325,0.9090909090909091,0.002904139516574735,1.338654011609273,0.3636363636363636,0.02407329209045372,0.22752569696262417,20661
0.3,26,0.30758904851235375,0.7272727272727273,0.003874557949967491,1.5700442803936887,0.0,0.06780806109538214,0.36050312063218737,19510
0.5,26,0.3349077405066154,0.8636363636363636,0.0016520620652771564,1.3433211830026894,0.3636363636363636,0.22244827717765453,0.07290537190756288,20381
0.7,26,0.3070736190163399,0.8636363636363636,0.0030591825707531914,1.3851197075139998,0.1818181818181818,0.13835369363066696,0.19712244404186466,20172
0.0,27,0.2940358224316858,0.7272727272727273,0.006442502894655819,1.4007567613752463,0.2727272727272727,0.09671328334920268,0.3999029773906625,22191
0.1,27,0.3478021784577279,0.9090909090909091,0.000953157676580539,1.355737930880414,0.2727272727272727,0.24324821164732904,0.0523976907175687,21404
0.3,27,0.3145180481109228,0.7727272727272727,0.0017598533394134835,1.3133374676121659,0.1818181818181818,0.21912637165367813,0.10500824617716187,19313
0.5,27,0.32236671988644994,0.9090909090909091,0.0014904238420743524,1.723822018814813,0.2727272727272727,0.21394539410656951,0.09737253789328575,21048
0.7,27,0.3363009129289096,0.8181818181818182,0.001746353385687211,1.7117030624771086,0.1818181818181818,0.18225213195312293,0.09605628587264631,20053
0.0,28,0.3142439031149124,0.9090909090909091,0.0029758482766758577,1.524450069264639,0.3636363636363636,0.08361143636766384,0.1000946773635962,22212
0.1,28,0.3093111630352553,0.8636363636363636,0.0034520592866529153,1.5721594247297128,0.0,0.06437582162475844,0.43776925370310904,20486
0.3,28,0.309719481750216,0.8636363636363636,0.003747657820629977,1.676762697793887,0.2727272727272727,0.10782326002302414,0.2912382716887083,19868
0.5,28,0.33367234099700416,0.8181818181818182,0.0010584178433699714,1.4387220198515185,0.0909090909090909,0.26175313674978234,0.061165098273081656,20123
0.7,28,0.33558735713196347,0.7727272727272727,0.0017793338918083686,1.5175495500716658,0.1818181818181818,0.19745957056755165,0.07265452186446598,20456
0.0,29,0.29580228976550693,0.8181818181818182,0.0019255103974393764,1.2358669949296817,0.2727272727272727,0.21686804846459198,0.1326101897554294,19527
0.1,29,0.3405438923609558,0.9090909090909091,0.0023287608445325706,1.5666116040760487,0.1818181818181818,0.32627514511099676,0.0630233066543715,19187
0.3,29,0.31158119825095937,0.9090909090909091,0.0016628739499889875,1.3086276768274137,0.2727272727272727,0.21593215345766822,0.08875823701073363,20046
