dataset,eps,intra_ratio,inter_ratio,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel,syn_edges
Chamelon,1.5,0.1,0.7,0.23705662348224163,0.8181818181818181,0.003899021498466198,1.524094463311254,0.16363636363636364,0.09031035099404308,0.2952203227941528,20407.2
Chamelon,1.5,0.1,0.8,0.23865978470775645,0.8,0.005651327029557102,1.6054729996475696,0.19999999999999998,0.11689706725512972,0.26560036679591437,20286.8
Chamelon,1.5,0.1,0.9,0.2243403615935376,0.7909090909090909,0.00537973147370605,1.4828004186325427,0.16363636363636364,0.10140365055991978,0.3626036196980167,21115.2
Chamelon,1.5,0.1,1.0,0.21172396198483173,0.7272727272727273,0.007454743761935624,1.6151115675141494,0.2727272727272727,0.08494900940819332,0.32813345198403987,19927.4
Chamelon,1.5,0.2,0.1,0.26104076864355846,0.7818181818181819,0.0014357306005080203,1.4564143548944475,0.19999999999999996,0.23342797203692478,0.1723686771816772,19353.6
Chamelon,1.5,0.2,0.2,0.26446787943350925,0.8454545454545455,0.0011213432696728603,1.6142744151088326,0.1636363636363636,0.11692159170385814,0.20270955573414798,19876.2
Chamelon,1.5,0.2,0.3,0.24246911972415072,0.8181818181818181,0.0015444398105640485,1.4351693923917577,0.2909090909090909,0.12351877191474528,0.23332602454372,20259.4
Chamelon,1.5,0.2,0.4,0.22007727211774922,0.7909090909090909,0.0024544305910601306,1.6192488048508753,0.16363636363636364,0.1284243605515119,0.30175708021801195,19202.2
Chamelon,1.5,0.2,0.5,0.21390995224280926,0.7,0.0031458830749549207,1.6426614468551464,0.23636363636363633,0.1104663382244219,0.2578164089947011,19416.8
Chamelon,1.5,0.2,0.6,0.22163930943939275,0.8454545454545455,0.002641809479447323,1.6696982203981912,0.3818181818181817,0.12322033137668328,0.2658760708368846,20066.2
Chamelon,1.5,0.2,0.7,0.2294552100346782,0.8272727272727274,0.004896342412315529,1.6210019956470916,0.39999999999999997,0.13272483173892463,0.28093583666534344,19926.2
Chamelon,1.5,0.2,0.8,0.21623079865338965,0.8,0.005546869631058032,1.5516018411491974,0.2545454545454545,0.08906200272455995,0.3275939798371062,21686.0
Chamelon,1.5,0.2,0.9,0.2370948910346558,0.8181818181818181,0.0054683845085329134,1.5232781995918194,0.16363636363636364,0.03230287272520441,0.29319453231062215,21876.0
Chamelon,1.5,0.2,1.0,0.2257906455682462,0.7454545454545454,0.007089361774809157,1.526757091662756,0.19999999999999998,0.09720318005457024,0.2381169449121366,20712.4
Chamelon,1.5,0.3,0.1,0.266592326982317,0.809090909090909,0.0016766383680601171,1.5308807479021023,0.43636363636363634,0.2801655232933472,0.1210634742634018,19572.8
Chamelon,1.5,0.3,0.2,0.24162248182554652,0.6272727272727272,0.00427095478610698,1.625066229698928,0.3818181818181817,0.09032014216346931,0.22836506447914195,19485.2
Chamelon,1.5,0.3,0.3,0.23287252185491564,0.7909090909090909,0.003022195779279057,1.6803656409068686,0.43636363636363634,0.24526523723707153,0.20533464854769598,18864.2
Chamelon,1.5,0.3,0.4,0.23456619715731764,0.8272727272727274,0.0026539088660352942,1.932612310458088,0.3818181818181818,0.19372123243021616,0.23892302141910965,19043.8
