mode,e3_target,eps,e1_r,e2_r,e3_r,exper,nmi,evc_overlap,evc_MAE,deg_kl,diam_rel,cc_rel,mod_rel
sweep_e3=0.10,0.1,1,0.4759,0.4241,0.1,7,0.10105412784035421,0.5909090909090909,0.0047705665415655844,4.378375274125251,0.5454545454545454,0.22873691375035482,0.48457375194493
sweep_e3=0.10,0.1,1,0.4759,0.4241,0.1,8,0.07464825261591213,0.5909090909090909,0.009939635594393191,6.1757661029479864,0.5454545454545454,0.22873011986117758,0.4343682001622365
sweep_e3=0.10,0.1,1,0.4759,0.4241,0.1,9,0.10218558403563134,0.7272727272727273,0.003992032736565601,1.8486674864745378,0.5454545454545454,0.08095467517517754,0.35541101217603754
sweep_e3=0.10,0.1,2,0.2944,0.6056,0.1,0,0.16453103742661399,0.7727272727272727,0.0036895472090214816,1.280868537254869,0.4545454545454545,0.07535873343496872,0.2892633628304474
sweep_e3=0.10,0.1,2,0.2944,0.6056,0.1,1,0.16636155353757223,0.6363636363636364,0.0011140749578760704,1.019610166780592,0.4545454545454545,0.05421367651432466,0.22448663850998016
sweep_e3=0.10,0.1,2,0.2944,0.6056,0.1,2,0.1718240530019457,0.8181818181818182,0.0024122251595705036,0.8333133214469342,0.4545454545454545,0.060129596019390996,0.23815071177330505
sweep_e3=0.10,0.1,2,0.2944,0.6056,0.1,3,0.191037451040789,0.8181818181818182,0.004065974571795548,1.0100018074987143,0.4545454545454545,0.027589184751140007,0.2492149668953633
sweep_e3=0.10,0.1,2,0.2944,0.6056,0.1,4,0.1770323392932058,0.7272727272727273,0.002321267884150936,0.877928817460514,0.4545454545454545,0.07339736561393365,0.2656350813169435
sweep_e3=0.10,0.1,2,0.2944,0.6056,0.1,5,0.19430391478223866,0.8636363636363636,0.003394274235576483,0.9454639887644983,0.3636363636363636,0.07532214909201375,0.2249138790049935
sweep_e3=0.10,0.1,2,0.2944,0.6056,0.1,6,0.19945622789377665,0.8636363636363636,0.0038065092725517043,0.8908677501357418,0.3636363636363636,0.0002637844167466166,0.21725659734751968
sweep_e3=0.10,0.1,2,0.2944,0.6056,0.1,7,0.14453985856505153,0.6363636363636364,0.012297382980204984,0.9875679182331467,0.3636363636363636,0.2932638902514051,0.5401901489666721
sweep_e3=0.10,0.1,2,0.2944,0.6056,0.1,8,0.13601004240039952,0.5454545454545454,0.016907160232538913,1.0271322202547002,0.4545454545454545,0.29328678905142086,0.4764378180447865
sweep_e3=0.10,0.1,2,0.2944,0.6056,0.1,9,0.17247739636898438,0.9545454545454546,0.002695856285217972,1.0045554517472302,0.4545454545454545,0.03625916885907542,0.2635493933674621
sweep_e3=0.10,0.1,3,0.2339,0.6661,0.1,0,0.18064632233229722,0.8181818181818182,0.003734745342203606,1.1511781131294505,0.3636363636363636,0.17314451358647187,0.3269793273989306
sweep_e3=0.10,0.1,3,0.2339,0.6661,0.1,1,0.17911051451699586,0.9090909090909091,0.004220026331711906,0.9125584566357143,0.3636363636363636,0.19560091443741726,0.33878802340348335
sweep_e3=0.10,0.1,3,0.2339,0.6661,0.1,2,0.23424152488509922,0.9090909090909091,0.001954792708166045,0.7863003052704187,0.3636363636363636,0.045608648658051545,0.18371247929933443
sweep_e3=0.10,0.1,3,0.2339,0.6661,0.1,3,0.2238183987088913,0.8636363636363636,0.003656944930992548,0.797310969518046,0.2727272727272727,0.09766868650028976,0.2134137695686516
sweep_e3=0.10,0.1,3,0.2339,0.6661,0.1,4,0.241635603269049,0.8636363636363636,0.0018994755973592134,1.044886974435312,0.2727272727272727,0.0518886932196368,0.17063712952643298
